Theaters,x_coord,y_coord,color,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Hudson Theatre,1,1,0.70,The Marriage of Kitty,The Marriage of Kitty,Man and Superman,Man and Superman,Brewster's Millions,Lady Frederick,Arsene Lupin,Arsene Lupin,Arsene Lupin,Frou-Frou,General John Regan,Lady Windermere's Fan,Alice in Wonderland,Alice in Wonderland,Our Betters,Friendly Enemies,Friendly Enemies,Friendly Enemies,Friendly Enemies,"The Voice From the Minaret, Fedora, So This Is London",So This Is London,The Fake,The Fake,The Noose,The Plough and the Stars,The Plough and the Stars,Hot Chocolates,The Inspector General,The Inspector General,The Show-off,The Show-off,The Show-off, , ,"An Enemy of the People, The Amazing Dr. Clitterhouse",Good Hunting,Lew Leslie's Blackbirds,Love for Love,All Men Are Alike,All Men Are Alike,"Run, Little Chillun, Arsenic and Old Lace",Arsenic and Old Lace,State of the Union,State of the Union,State of the Union,State of the Union,Detective Story,Detective Story, , , , , , , , , ,Toys in the Attic,Toys in the Attic,Ross,Strange Interlude, , , ,How to Be a Jewish Mother,How to Be a Jewish Mother, , , , , , , , , , , , ,Genesis, ,King Sunny Ade and his African Beats, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Sunday in the Park with George, 1984, The Parisian Woman",Head over Heels,"Burn This, American Utopia", , ,"Plaza Suite, Death of a Salesman","A Doll's House, Just for Us, Merrily We Roll Along"
Lyceum Theatre,1,2,0.54,The Admirable Crichton,David Garrick,A Doll's House,A Doll's House,The Truth,The Truth,"Arsene Lupin, Penelope","The Pillars of Society, The Assumption of Hannele, The Importance of Being Earnest",The Importance of Being Earnest,The Importance of Being Earnest,The Ghost Breaker,The Ghost Breaker,John Gabriel Borkman,John Gabriel Borkman,"The Great Divide, The Case of Lady Camber",The Case of Lady Camber,The Gold Diggers,The Gold Diggers,The Gold Diggers,The Merchant of Venice,The School for Scandal,"Antony and Cleopatra, Ladies of the Evening",Ladies of the Evening,The Sport of Kings,The Sport of Kings,The Sport of Kings,Berkeley Square,Berkeley Square,Anatol,Anatol,Anatol,Anatol,Squaring the Circle,St. Helena,St. Helena,St. Helena,"The Mother, When We Are Married",When We Are Married,Junior Miss,The Doughgirls,The Doughgirls,The Doughgirls,The Doughgirls,Born Yesterday,Born Yesterday,Born Yesterday,Born Yesterday,"The Enchanted, The Country Girl",The Country Girl,"Anna Christie, Time Out For Ginger",Time Out For Ginger,Time Out For Ginger,A Hatful of Rain,A Hatful of Rain,Look Back in Anger,The Gazebo,"The Billy Barnes Revue, Flowering Cherry, Goodbye Charlie","A Taste of Honey, The Importance of Being Oscar, Mandingo",The Caretaker,The Caretaker,"Ages of Man, Nobody Loves an Albatross",Nobody Loves an Albatross,"Entertaining Mr. Sloane, You Can't Take It With You",The School for Scandal,"You Can't Take It With You, The Wild Duck, By George, The Show-off","Exit the King, The Show-off, The Cherry Orchard, The Cocktail Party, The Misanthrope","Cock-a-Doodle Dandy, Hamlet, Three Men on a Horse","Norman, Is That You?, Borstal Boy",The School for Wives,"The Great God Brown, Don Juan",Out Cry,Out Cry,The Lieutenant,"Something's Afoot, Best Friend, Your Arms Too Short to Box with God",Your Arms Too Short to Box with God,Your Arms Too Short to Box with God,Wings,Morning's at Seven,Morning's at Seven,"""Master Harold""...and the Boys",The Man Who Had Three Arms,The Man Who Had Three Arms,As Is,As Is,As Is,Our Town,Our Town,Our Town,Our Town,Our Town,"Saint Joan, Three Men on a Horse, Timon of Athens","The Government Inspector, The Flowering Peach","Gentlemen Prefer Blondes, The School for Scandal",The School for Scandal,"The Gin Game, The Sunshine Boys",The Sunshine Boys,"Night Must Fall, The Lonesome West",The Lonesome West,The Invention of Love,Morning's at Seven,"The Play What I Wrote, I Am My Own Wife",I Am My Own Wife,Steel Magnolias,The Lieutenant of Inishmore,"Inherit the Wind, Is He Dead?","Macbeth, [title of show]","Reasons to Be Pretty, In the Next Room (or The Vibrator Play)","Looped, The Scottsboro Boys",The Scottsboro Boys,Venus in Fur,The Nance,"The Realistic Joneses, Disgraced","The Visit, A View from the Bridge","Fully Committed, Oh, Hello",The Play That Goes Wrong,The Play That Goes Wrong,"Be More Chill, A Christmas Carol",A Christmas Carol,"Is This a Room, Dana H.",A Strange Loop,Grey House
New Amsterdam Theatre,1,3,0.76,"A Midsummer Night's Dream, Whoop-Dee-Doo",The Two Orphans,"She Stoops to Conquer, Richard III",Forty-five Minutes from Broadway,"The Merry Widow, Peer Gynt",Peer Gynt,Peer Gynt,Madame X,"The Pink Lady, Ben-Hur",The Count of Luxembourg,"Oh! Oh! Delphine, Ziegfeld Follies, Sweethearts",Watch Your Step, , , ,The Girl Behind the Gun,The Girl Behind the Gun,Sally,Sally,Sally, , ,Sunny,Sunny,Trelawny of the 'Wells',"Rosalie, Whoopee",Whoopee,Earl Carroll's Vanities,The Band Wagon,Face the Music,"Alice in Wonderland, The Cherry Orchard, Roberta",Revenge with Music,Revenge with Music,George White's Scandals,Othello, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"King David, The Lion King",The Lion King,The Lion King,The Lion King,The Lion King,The Lion King,The Lion King,The Lion King,The Lion King,Mary Poppins,Mary Poppins,Mary Poppins,Mary Poppins,Mary Poppins,Mary Poppins,Mary Poppins,Mary Poppins,Aladdin,Aladdin,Aladdin,Aladdin,Aladdin,Aladdin,Aladdin,Aladdin,Aladdin,Aladdin
Belasco Theatre,1,4,0.59, , , , , ,"The Devil, The Warrens of Virginia",The Warrens of Virginia,"Just a Wife, The Concert",The Concert,The Concert,The Concert,The Concert,The Concert,Seven Chances,Polly With a Past,Polly With a Past,Polly With a Past,Polly With a Past,Deburau,Deburau,Deburau,Deburau,Deburau,Lulu Belle,Hit the Deck,Hit the Deck,Hit the Deck,Hit the Deck,Hit the Deck,"The Truth About Blayds, Criminal at Large",Criminal at Large,Criminal at Large,"Awake and Sing!, Waiting for Lefty, Dead End",Dead End,Golden Boy,Rocket to the Moon,Rocket to the Moon,Johnny Belinda,"The Man with Blond Hair, Clash by Night","Nathan the Wise, Magic and Hello Out There!",Dark Eyes,Dark Eyes,"Kiss Them for Me, Home of the Brave","Truckline Cafe, Lysistrata",Sundown Beach,"Me and Molly, The Madwoman of Chaillot",The Madwoman of Chaillot,The Madwoman of Chaillot,The Madwoman of Chaillot,The Madwoman of Chaillot,The Madwoman of Chaillot,The Flowering Peach,Will Success Spoil Rock Hunter?,Fanny,"The First Gentleman, Nude With Violin",Present Laughter,A Raisin in the Sun,All the Way Home,Write Me a Murder,Write Me a Murder,Write Me a Murder,"The Seagull, The Crucible",Inadmissible Evidence,"The Subject Was Roses, The Killing of Sister George",Dr. Cook's Garden,Don't Drink the Water,Does a Tiger Wear a Necktie?,Does a Tiger Wear a Necktie?,Oh! Calcutta!,Oh! Calcutta!,Oh! Calcutta!,Oh! Calcutta!,The Rocky Horror Show,The Rocky Horror Show,American Buffalo,American Buffalo,The Goodbye People,Your Arms Too Short to Box with God,Ain't Misbehavin',Ain't Misbehavin',Marcel Marceau On Broadway,Accidental Death of an Anarchist,Accidental Death of an Anarchist,"Romeo and Juliet, As You Like It, Macbeth",Macbeth,Macbeth,Macbeth,Macbeth,"The Speed of Darkness, The Crucible",The Master Builder,The Master Builder,The Master Builder,Hamlet,Hamlet,A Doll's House,Honour,Ring Round the Moon,James Joyce's The Dead,Follies,Frankie and Johnny in the Clair de Lune,Enchanted April,"Dracula, the Musical",Julius Caesar,Awake and Sing!,Journey's End,"Passing Strange, American Buffalo",Joe Turner's Come and Gone,Women on the Verge of a Nervous Breakdown,Kathy Griffin Wants a Tony,"End of the Rainbow, Golden Boy",Twelfth Night and Richard III,Hedwig and the Angry Inch,Hedwig and the Angry Inch,Blackbird,"The Glass Menagerie, Michael Moore: The Terms of My Surrender, Farinelli and the King",Gettin' the Band Back Together,Network,Girl from the North Country,Girl from the North Country,Ain't No Mo',"Good Night, Oscar, How to Dance in Ohio"
Lunt-Fontanne Theatre,1,5,0.40, , , , , , , ,The Girl in the Train,A Gentleman of Leisure,A Gentleman of Leisure,Mlle. Modiste,Mlle. Modiste,Stop! Look! Listen!,Betty,Betty,"Hitchy-Koo, Ziegfeld Follies",Hitchy-Koo,George White's Scandals,Ziegfeld Follies,"George White's Scandals, The Bunch and Judy","George White's Scandals, Stepping Stones",Stepping Stones,"Aren't We All?, No, No, Nanette",Criss Cross,Criss Cross,Three Cheers,Three Cheers,Three Cheers,The Cat and the Fiddle, , , , , , , , , , , , , , , , , , , , , , , , , , ,"The Visit, Goldilocks","Les Ballets Africains, Much Ado About Nothing, The Sound of Music",The Sound of Music,The Sound of Music,Little Me,Arturo Ui,"Luther, Hamlet, Wiener Blut, Ben Franklin in Paris","Bajour, Skyscraper",Walking Happy,"Marlene Dietric, How Now, Dow Jones","Her First Roman, You Know I Can't Hear You When the Water's Running","Come Summer, Hamlet, La Strada","Look to the Lilies, The Rothschilds",The Rothschilds,"A Funny Thing Happened on the Way to the Forum, Ambassador","6 Rms Riv Vu, The Pajama Game",The Sunshine Boys,Raisin,"Rex, My Fair Lady","Primitive Mysteries, The Shadow Box","Hello, Dolly!, A Broadway Musical","Beatlemania, Peter Pan",Peter Pan,Sophisticated Ladies,Sophisticated Ladies,"Private Lives, The Corn Is Green",The Wiz,The Iceman Cometh,"Uptown... It's Hot!, Smile",Smile,The Gospel at Colonus,The Threepenny Opera,Peter Pan,"Oh, Kay!","Oh, Kay!","Oh, Kay!",The Best Little Whorehouse Goes Public,"Hello, Dolly!","Three Sisters, A Midsummer Night's Dream",Titanic,Titanic,Beauty and the Beast,Beauty and the Beast,Beauty and the Beast,Beauty and the Beast,Beauty and the Beast,Beauty and the Beast,Beauty and the Beast,Beauty and the Beast,Beauty and the Beast,The Little Mermaid,The Little Mermaid,The Addams Family,The Addams Family,"Ghost the Musical, A Christmas Story: The Musical",Motown: The Musical,Motown: The Musical,Finding Neverland,"Frankie Valli and the Four Seasons on Broadway!, Kristin Chenoweth: My Love Letter to Broadway",Charlie and the Chocolate Factory,Summer: The Donna Summer Musical,"Morrissey, Pure Yanni, Mel Brooks on Broadway, Regina Spektor: Live On Broadway, Criss Angel Raw—The Mindfreak Unplugged, Dave Chappelle on Broadway, Manilow Broadway, Tina: The Musical",Tina: The Musical,Tina: The Musical,Tina: The Musical,Sweeney Todd
Winter Garden Theatre,1,6,0.93, , , , , , , , ,"La Belle Paree, Vera Violetta",The Passing Show,The Passing Show,The Passing Show,The Passing Show,"Robinson Crusoe, Jr.",The Passing Show,Sinbad,Monte Cristo Jr.,Broadway Brevities of 1920,The Whirl of New York,Make It Snappy,Greenwich Village Follies,"Greenwich Village Follies, Bombo","Big Boy, Sky High, Artists and Models of 1925",Artists and Models of 1925,"The Circus Princess, A Night in Spain, Artists and Models of 1927",Greenwich Village Follies, , , , , ,"Ziegfeld Follies of 1934, Life Begins at 8:40",At Home Abroad,Ziegfeld Follies of 1936,Hooray for What!,"You Never Know, Hellzapoppin",Hellzapoppin,Hellzapoppin,Sons o' Fun,Sons o' Fun,Ziegfeld Follies of 1943,"Mexican Hayride, Laffing Room Only",Marinka, , ,As the Girls Go, ,"Alive and Kicking, Michael Todd's Peep Show","Make a Wish, Top Banana",My Darlin' Aida,Wonderful Town,Peter Pan,"Plain and Fancy, The Vamp","Tamburlaine The Great, Bus Stop, Shangri-La","Ziegfeld Follies of 1957, West Side Story",West Side Story,"Juno, Saratoga","Once Upon a Mattress, The Unsinkable Molly Brown",The Unsinkable Molly Brown,"All American, Carnival!","The Lady of the Camellias, Tovarich",Funny Girl,Funny Girl,Mame,Mame,Mame,Jimmy!,"Georgy, Purlie",Follies,Much Ado About Nothing,Much Ado About Nothing,"Ulysses in Nighttown, Gypsy",Doctor Jazz,"Pacific Overtures, Fiddler on the Roof",Beatlemania,Beatlemania,"Zoot Suit, Gilda Radner: Live From New York",42nd Street,"The Catherine Wheel, Camelot","Othello, Cats",Cats,Cats,Cats,Cats,Cats,Cats,Cats,Cats,Cats,Cats,Cats,Cats,Cats,Cats,Cats,Cats,Cats,Cats,Mamma Mia!,Mamma Mia!,Mamma Mia!,Mamma Mia!,Mamma Mia!,Mamma Mia!,Mamma Mia!,Mamma Mia!,Mamma Mia!,Mamma Mia!,Mamma Mia!,Mamma Mia!,Mamma Mia!,Rocky the Musical,"Wolf Hall Parts One & Two, School of Rock",School of Rock,School of Rock,School of Rock,Beetlejuice,Beetlejuice, ,The Music Man,Back to the Future: The Musical
Hayes Theater,1,7,0.87, , , , , , , , , ,"The Affairs of Anatol, Snow White and the Seven Dwarfs, Rutherford and Son",The Philanderer,The Truth,The Truth,The Truth,The Truth,A Little Journey,Please Get Married,"Mama's Affair, Beyond the Horizon, He and She, A Midsummer Night's Dream, The First Year",The First Year,The First Year,The First Year,Little Jessie James,The School For Scandal,Two Girls Wanted,Two Girls Wanted,Gods of the Lightning,Let Us Be Gay,London Calling,Mrs Moonlight,Mrs Moonlight,One Sunday Afternoon,The Lady from the Sea,The Lady from the Sea,The Lady from the Sea,Abie's Irish Rose,Abie's Irish Rose,Abie's Irish Rose,Abie's Irish Rose,Twelfth Night, , , , , , , , , , , , , , , , , , , , , , ,"The Dybbuk, The Subject Was Roses", , , , , , , , , , ,Man On The Moon,The Runner Stumbles,"A Party with Betty Comden & Adolph Green, Gemini",Gemini,Gemini,Gemini,Gemini,Torch Song Trilogy,Torch Song Trilogy,Torch Song Trilogy,The News,"Mummenschanz: ""The New Show"", Oh, Coward!",The Nerd,Romance/Romance,"Mandy Patinkin in Concert: ""Dress Casual"", Artist Descending a Staircase","Miss Margarida's Way, Prelude to a Kiss",Prelude to a Kiss,Prelude to a Kiss,Shakespeare For My Father,"The Flying Karamazov Brothers ""Do The Impossible""",Defending the Caveman,Defending the Caveman,The Last Night of Ballyhoo,The Last Night of Ballyhoo,"Night Must Fall, Epic Proportions",Dirty Blonde,"George Gershwin Alone, By Jeeves","The Smell of the Kill, Say Goodnight, Gracie",Golda's Balcony,Golda's Balcony,"Jackie Mason: Freshly Squeezed, Latinologues","Bridge and Tunnel, Kiki & Herb: Alive on Broadway, Jay Johnson: The Two and Only",Xanadu,Slava's Snowshow,The 39 Steps,"Next Fall, Long Story Short",Rock of Ages,Rock of Ages,Rock of Ages,Rock of Ages,Dames at Sea,The Humans,The Humans,"Lobby Hero, Straight White Me, Torch Song","What the Constitution Means to Me, Linda Vista",Grand Horizons,Clyde's,"Take Me Out, Kite Runner, Between Riverside and Crazy","The Thanksgiving Play, The Cottage"
Booth Theatre,1,8,0.47, , , , , , , , , , ,The Great Adventure,The Great Adventure,Our American Cousin,"David Garrick, The Co-Respondent, Getting Married",A Successful Calamity,A Successful Calamity,"The Woman in Room 13, The Better 'Ole, Too Many Husbands","The Purple Mas, The Prince and the Pauper",The Green Goddess,"The Truth About Blayds, Seventh Heaven",Seventh Heaven,"Dancing Mothers, Paolo and Francesca","The Fall of Eve, Hamlet",John Gabriel Borkman,Escape,Escape,Escape,"Uncle Vanya, The Man in Possession","The Bread-Winner, After All, If Love Were All","Jewel Robbery, Another Language","For Services Rendered, Candide","No More Ladies, The Shining Hour, The Distaff Side","Laburnum Grove, Kind Lady","Lady Precious Stream, Swing Your Lady, You Can't Take It with You",You Can't Take It with You,You Can't Take It with You,The Time of Your Life,Two for the Show,"The Cream in the Well, Claudia",Blithe Spirit,The Two Mrs. Carrolls,The Two Mrs. Carrolls,The Two Mrs. Carrolls,"The Would-Be Gentleman, He Who Gets Slapped, Playboy of the Western World","John Loves Mary, Tenting Tonight, Portrait in Black, Duet for Two Hands, An Inspector Calls","The Play's the Thing, The Shop at Sly Corner","Richard III, At War with the Army","Come Back, Little Sheba",Lace on Her Petticoat,An Evening With Beatrice Lillie,Late Love,"Dial M for Murder, All Summer Long",All Summer Long,The Matchmaker,Visit to a Small Planet,Two for the Seesaw,The Tenth Man,The Tenth Man,A Shot in the Dark,A Shot in the Dark,"Rattle of a Simple Man, Spoon River Anthology",Luv,Luv,At the Drop of Another Hat,The Birthday Party,"Avanti!, Leonard Sillman's New Faces of 1968",Butterflies Are Free,Butterflies Are Free,Butterflies Are Free,That Championship Season,That Championship Season,"Bad Habits, Brief Lives",Very Good Eddie,For Colored Girls Who Have Considered Suicide / When the Rainbow Is Enuf,For Colored Girls Who Have Considered Suicide / When the Rainbow Is Enuf,For Colored Girls Who Have Considered Suicide / When the Rainbow Is Enuf,"Monteith and Rand, The Elephant Man",The Elephant Man,"An Evening with Dave Allen, Mass Appeal",Good,American Buffalo,Sunday in the Park with George,I'm Not Rappaport,I'm Not Rappaport,I'm Not Rappaport,"A Walk in the Woods, Michael Feinstein in Concert: ""Isn't It Romantic""","Shirley Valentine, Tru",Once on This Island,Once on This Island,"The Most Happy Fella, Someone Who'll Watch Over Me",The Twilight of the Golds,"Broken Glass, A Tuna Christmas",Having Our Say,Having Our Say,The Old Neighborhood,"An Evening with Jerry Herman, I'm Still Here... Damn It!",Via Dolorosa,The Search for Signs of Intelligent Life in the Universe,Bea Arthur on Broadway,"I'm Not Rappaport, Our Town",The Retreat from Moscow,The Retreat from Moscow,The Pillowman,"Seascape, Faith Healer, Butley","The Year of Magical Thinking, The Seafarer","Thurgood, Dividing the Estate","The Story of My Life, Next to Normal",Next to Normal,"High, Other Desert Cities",Who's Afraid of Virginia Woolf?,"I'll Eat You Last: A Chat with Sue Mengers, The Glass Menagerie",The Elephant Man,Hand to God,"Hughie, An Act of God, Les Liaisons Dangereuses","Significant Other, Meteor Shower",The Boys in the Band,"Gary: A Sequel to Titus Andronicus, Freestyle Love Supreme",Who's Afraid of Virginia Woolf?,Freestyle Love Supreme,"For Colored Girls Who Have Considered Suicide / When the Rainbow Is Enuf, Kimberly Akimbo",Kimberly Akimbo
Longacre Theatre,1,9,0.75, , , , , , , , , , ,Adele,"A Pair of Sixes, Secret Strings",Secret Strings,Secret Strings,Leave It to Jane,Leave It to Jane,"Ghosts, Adam and Eva",Adam and Eva,Nobody's Money,Nobody's Money,"Rose Bernd, Romeo and Juliet, Little Jessie James",Little Jessie James,The Butter and Egg Man,The Butter and Egg Man, , , ,Ritzy, , , ,Wednesday's Child,"Till the Day I Die/Waiting for Lefty, Kind Lady, Paradise Lost",Hedda Gabler,Hedda Gabler,On Borrowed Time,"Wuthering Heights, The Three Sisters, Morning's at Seven","Leave Her to Heaven, Johnny Belinda",Johnny Belinda,Hedda Gabler, , , , , , , , , , , ,"Mademoiselle Colombe, The Burning Glass, The Tender Trap","Tea and Sympathy, The Honeys, The Lark",The Lark,Holiday for Lovers,Holiday for Lovers,An Evening With Yves Montand,An Evening With Yves Montand,"The Rhinoceros, Purlie Victorious",Purlie Victorious,Purlie Victorious,The Sign in Sidney Brustein's Window,The Sign in Sidney Brustein's Window,"Mark Twain Tonight, The Mutilated/The Gnadiges Fraulein, A Hand Is on the Gate, Gilbert Becaud on Broadway",Daphne in Cottage D,Cactus Flower,Cactus Flower,"Candida, Les Blancs",The Me Nobody Knows,The Sign in Sidney Brustein's Window,The Sign in Sidney Brustein's Window,Thieves,The Ritz,"The Belle of Amherst, Checking Out, No Man's Land","The Basic Training of Pavlo Hummel, Jesus Christ Superstar",Ain't Misbehavin',"Faith Healer, Bosoms and Neglect, But Never Jam Today",Children of a Lesser God,Children of a Lesser God,Children of a Lesser God,Passion,Passion,"Harrigan 'N Hart, A Day in the Death of Joe Egg",A Day in the Death of Joe Egg,The Musical Comedy Murders of 1940, , , , , ,Tony Bennett: Steppin' Out on Broadway,Medea,Medea,Medea,The Young Man From Atlanta,Golden Child,Golden Child,Golden Child,"Judgment at Nuremberg, A Thousand Clowns","One Mo' Time, Russell Simmons Def Poetry Jam", , ,Who's Afraid of Virginia Woolf?,Well,Talk Radio,Boeing Boeing,Burn the Floor,La Cage aux Folles,Chinglish,"Magic/Bird, The Performers",First Date the Musical,"Of Mice and Men, You Can't Take It with You",Allegiance,A Bronx Tale,A Bronx Tale,The Prom,The Lightning Thief,The Lightning Thief,Diana,"Macbeth, Leopoldstadt",Leopoldstadt
