Theaters,x_coord,y_coord,color,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Shubert Theatre,1,10,0.17, , , , , , , , , , ,Johnston Forbes-Robertson Repertory Company series,To-Night's the Night,Trilby,If I Were King,"Love O' Mike, Eileen, Her Soldier Boy, Maytime","The Copperhead, Sometime",Shakespeare series (three unique productions),"The Blue Flame, Greenwich Village Follies",Greenwich Village Follies,"Greenwich Village Follies, The Hotel Mouse","Blossom Time, Artists and Models",Greenwich Village Follies,"Othello, Sky High, Beggar on Horseback, Princess Ida","Greenwich Village Follies, Countess Maritza","And So To Bed, Harry Delmar's Revels",The Five O'Clock Girl,The Street Singer,"Shakespeare series (nine unique productions), Symphony in Two Flats, The Last Enemy","Peter Ibbetson, Everybody's Welcome",Smiling Faces,Gay Divorce,Dodsworth,"Escape Me Never, Rosmersholm","Love on the Dole, Idiot's Delight","The Masque of Kings, Babes in Arms, Amphitryon 38","The Seagull, I Married an Angel",The Philadelphia Story,"Higher and Higher, Hold On to Your Hats","The Doctor's Dilemma, Pal Joey, Candle in the Wind","The Rivals, Candida, By Jupiter","The Vagabond King, Othello","Catherine Was Great, Bloomer Girl",Bloomer Girl,"Are You with It?, Park Avenue","Sweethearts, Under the Counter, The First Mrs. Fraser, High Button Shoes",Anne of the Thousand Days,"Lend an Ear, I Know My Love","Kiss Me, Kate","Jose Greco Ballet, Paint Your Wagon",The Millionairess,"The Love of Four Colonels, Can-Can",Can-Can,"Gilbert and Sullivan series, Pipe Dream","Will Success Spoil Rock Hunter?, The Pajama Game, Bells Are Ringing",Bells Are Ringing,Whoop-Up,"A Majority of One, Take Me Along",Take Me Along,"Bye Bye Birdie, The Gay Life","I Can Get It for You Wholesale, Stop the World – I Want to Get Off",Here's Love,"Oliver!, Bajour","The Roar of the Greasepaint – The Smell of the Crowd, Inadmissible Evidence","Ivanov, Wait Until Dark, The Apple Tree",The Apple Tree,"Golden Rainbow, Promises, Promises","Promises, Promises","Promises, Promises","Promises, Promises","An Evening with Richard Nixon, The Creation of the World and Other Business","A Little Night Music, The Sunshine Boys",Over Here!,"Seascape, The Constant Wife, A Chorus Line",A Chorus Line,A Chorus Line,A Chorus Line,A Chorus Line,A Chorus Line,A Chorus Line,A Chorus Line,A Chorus Line,A Chorus Line,A Chorus Line,A Chorus Line,A Chorus Line,A Chorus Line,A Chorus Line,Buddy – The Buddy Holly Story,Buddy – The Buddy Holly Story,Crazy for You,Crazy for You,Crazy for You,Crazy for You,"Big, Chicago",Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Gypsy,Gypsy,"Spamalot, A Wonderful Life",Spamalot,Spamalot,Spamalot,"Blithe Spirit, Memphis",Brigadoon,Camelot,Oliver!,Matilda the Musical,Matilda the Musical,Matilda the Musical,Matilda the Musical,"Hello, Dolly!",To Kill a Mockingbird,To Kill a Mockingbird,To Kill a Mockingbird, ,"POTUS, Some Like It Hot",Some Like It Hot
James Earl Jones Theatre,1,11,0.35, , , , , , , , , , , , ,The Princess Pat,The Princess Pat,The Princess Pat,"Everyman, The Merchant of Venice, As You Like It, Julius Caesar, The Better 'Ole",Abraham Lincoln,Abraham Lincoln,Captain Applejack,Merton of the Movies,Merton of the Movies,"The Assumption of Hannele, The Second Mrs. Tanqueray",The Jazz Singer,The Jazz Singer,The Jazz Singer,The Wrecker,The Wrecker,"Uncle Vanya, Five Star Final",Five Star Final,The Blue Bird,The Green Bay Tree,The Green Bay Tree,"The Bishop Misbehaves, Most of the Game, There's Wisdom in Women",There's Wisdom in Women,Room Service,Room Service,The White Steed,"The Male Animal, Charley's Aunt",Charley's Aunt,"Cafe Crown, I Killed the Count",I Killed the Count,I Killed the Count,I Killed the Count,"The Winter's Tale, Antigone, Candida, Lady Windermere's Fan",Lady Windermere's Fan,"Ghosts, Hedda Gabler, The Happy Journey to Trenton and Camden and The Respectful Prostitute, Make Way for Lucia","Two Blind Mice, The Father",As You Like It,Saint Joan,The Shrike,The Shrike,The Rainmaker,The Diary of Anne Frank,The Diary of Anne Frank,The Diary of Anne Frank,Sunrise at Campobello,Sunrise at Campobello,"Once Upon a Mattress, The Hostage, Advise and Consent","Purlie Victorious, Sunday in New York","The Father, Long Day's Journey into Night, and Miss Julie",One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,"Boeing-Boeing, The Zulu and the Zayda",The Zulu and the Zayda,"Johnny No-Trump, Something Different",Leda Had a Little Swan,"Red, White and Maddox", , , , ,The Magic Show,The Magic Show,The Magic Show,The Magic Show,The Magic Show,King Richard III,Clothes for a Summer Hotel,Clothes for a Summer Hotel,Medea,Medea,"A Moon for the Misbegotten, Ma Rainey's Black Bottom", , , ,Sarafina!,Sarafina!,The Grapes of Wrath,The Grapes of Wrath,The Grapes of Wrath,Face Value,"Twilight: Los Angeles, 1992",The Heiress,The Heiress,An American Daughter,"Freak, The Blue Room",Kat and the Kings,The Green Bird,The Green Bird,Hollywood Arms,"A Year with Frog and Toad, Bobbi Boland",Laugh Whore,On Golden Pond,"Barefoot in the Park, The Little Dog Laughed","Radio Golf, The Homecoming",The 39 Steps,You're Welcome America: A Final Night with George W. Bush,"A View from the Bridge, Fences, Time Stands Still","Born Yesterday, Stick Fly","The Lyons, Grace","Breakfast at Tiffany's, No Man's Land, Waiting for Godot","The Cripple of Inishmaan, This is Our Youth","Fish in the Dark, Sylvia",Bright Star,"Indecent, M. Butterfly",Mike Birbiglia's The New One,"King Lear, Derren Brown: Secret",The Minutes,The Minutes,"Ohio State Murders, The Sign in Sidney Brustein's Window",Gutenberg! The Musical!
Broadhurst Theatre,1,12,0.66, , , , , , , , , , , , , , ,"Misalliance, Lord and Lady Algy","Maytime, The Melting of Molly","39 East, Smilin' Through",Smilin' Through,"Macbeth, The Servant in the House, Tarzan of the Apes",The Faithful Heart,The Dancers,Beggar on Horseback,The Green Hat,Broadway,Broadway,"The Merchant of Venice, Here's Howe, Hold Everything!",June Moon,June Moon,"America's Sweetheart, Hamlet","The Animal Kingdom, The Man Who Changed His Name, The Man Who Reclaimed His Head, Twentieth Century",Men in White,L'Aiglon,"The Petrified Forest, Victoria Regina",Victoria Regina,Madame Bovary,"A Doll's House, The Fabulous Invalid","Dear Octopus, The Hot Mikado, The Streets of Pari","Night Music, Keep Off the Grass",Old Acquaintance,Old Acquaintance,Old Acquaintance,Ten Little Indians,"Lady in Danger, Follow the Girls",Happy Birthday,Happy Birthday,Make Mine Manhattan,Lend an Ear,"The Liar, Detective Story, Burning Bright, An Enemy of the People","Romeo and Juliet, Flahooley, Seventeen",Pal Joey,"The Love of Four Colonels, Spanish theater in repertory", , ,Auntie Mame,Auntie Mame,The World of Suzie Wong,Fiorello!,Fiorello!,Sail Away,"My Fair Lady, Bravo Giovanni, No Strings",110 in the Shade,"Oh, What a Lovely War!","Kelly, Half a Sixpence","Luv, Cabaret",More Stately Mansions,"Weekend, The Only Game in Town, You Know I Can't Hear You When the Water's Running","The Fig Leaves Are Falling, Play It Again, Sam","Cry For Us All, Private Lives, Four on a Garden","70, Girls, 70, Twigs","Vivat! Vivat Regina!, Grease, The Sunshine Boys",Rachael Lily Rosenbloom and Don't You Ever Forget It,"Thieves, Sherlock Holmes",Sherlock Holmes,"A Matter of Gravity, The Heiress, Godspell, A Texas Trilogy, Sly Fox",Sly Fox,Dancin',Dancin',Amadeus,Amadeus,Amadeus,The Tap Dance Kid,Death of a Salesman,The Odd Couple,"Long Day's Journey into Night, The Life and Adventures of Nicholas Nickleby, Broadway Bound",Broadway Bound,Rumors,Rumors,Aspects of Love,Aspects of Love,"Private Lives, A Christmas Carol",Kiss of the Spider Woman,Kiss of the Spider Woman,The Tempest,"Getting Away with Murder, Once Upon a Mattress",Proposals,Proposals,Fosse,Fosse,Fosse,Into the Woods,"Urban Cowboy, Never Gonna Dance",700 Sundays,Lennon,"The History Boys, Les Miserables",Les Miserables,"Cat on a Hot Tin Roof, Equus","Mary Stuart, Hamlet","Enron, The Merchant of Venice","Baby It's You!, Hugh Jackman, Back on Broadway",A Streetcar Named Desire,"Lucky Guy, Mamma Mia!",Mamma Mia!,Misery,"Tuck Everlasting, The Front Page",Anastasia,Anastasia,"Frankie and Johnny in the Clair de Lune, Jagged Little Pill",Jagged Little Pill,Jagged Little Pill,A Beautiful Noise, 
Gerald Schoenfeld Theatre,1,13,0.85, , , , , , , , , , , , , , ,A Successful Calamity,"The Wild Duck, Hedda Gabler, A Doll's House, Redemption, Hamlet, Macbeth",As You Like It,Richard III,Richard III,"The Hairy Ape, The Old Soak",The Potters,What Price Glory?,What Price Glory?,"The Jest, Iolanthe, The Pirates of Penzance",Burlesque,"Machinal, Holiday",Holiday,Rebound,"Once in a Lifetime, Counsellor at Law",Counsellor at Law,Her Master's Voice,"Dark Victory, Accent on Youth",Pride and Prejudice,Pride and Prejudice,Susan and God,"Shadow and Substance, Abe Lincoln in Illinois",Margin for Error,Margin for Error,Margin for Error,The Skin of Our Teeth,The Naked Genius,Chicken Every Sunday,"Ten Little Indians, The Rugged Path","Lute Song, Hidden Horizon, Present Laughter","The Eagle Has Two Heads, Call Me Mister","Happy Birthday, Private Lives",Diamond Lil,The Happy Time,The Happy Time,"Women of Twilight, Don Juan In Hell, Three Wishes for Jamie, Dial M for Murder",Dial M for Murder,The Caine Mutiny Court Martial,"3 for Tonight, Tiger at the Gates, Janus","A Hatful of Rain, The Apple Cart","A Hole in the Head, Romanoff and Juliet",The Marriage-Go-Round,The Marriage-Go-Round,"From A to Z, Irma la Douce",Gideon,Tchin-Tchin,"The Beauty Part, Chips with Everything",Dylan,The Odd Couple,The Star-Spangled Girl,Everything in the Garden,Plaza Suite,Plaza Suite,The Gingerbread Lady,The Gingerbread Lady,Twigs,Twigs,Equus,Equus,Godspell,"Otherwise Engaged, The Merchant","The Water Engine, Eliot Feld Ballet, Runaways",Ain't Misbehavin',Ain't Misbehavin',"Piaf, The Life and Adventures of Nicholas Nickleby",The Life and Adventures of Nicholas Nickleby,"Plenty, You Can't Take It With You",The Real Thing,The Search for Signs of Intelligent Life in the Universe,The House of Blue Leaves,"Pygmalion, Burn This",Burn This,The Heidi Chronicles,The Heidi Chronicles,"The Big Love, Dancing at Lughnasa",Dancing at Lughnasa,The Song of Jacob Zulu,Passion,"Translations, Chronicle of a Death Foretold",A Delicate Balance,Jekyll & Hyde,Jekyll & Hyde,Jekyll & Hyde,Jekyll & Hyde,"Bells Are Ringing, Thou Shalt Not",The Graduate,"Long Day's Journey into Night, Taboo","Match, Brooklyn the Musical",Chita Rivera: The Dancer's Life,"The Caine Mutiny Court-Martial, A Chorus Line",A Chorus Line,All My Sons,"Impressionism, A Steady Rain","A Behanding in Spokane, A Life in the Theatre","The Motherfucker with the Hat, Bonnie & Clyde","The Best Man, Glengarry Glen Ross",Orphans,"The Bridges of Madison County, It's Only a Play","The Audience, China Doll","American Psycho, The Humans",Come from Away,Come from Away,Come from Away,Come from Away,Come from Away,Take Me Out,Life of Pi
American Airlines Theatre,1,14,0.46, , , , , , , , , , , , , , , ,The Crowded Hour,Buddies,"Tickle Me, The Emperor Jones",The Circle,"The Blue Kitten, Partners Again",Battling Buttler,"Charlot Revue, Kid Boots","The Gorilla, Charlot Revue","Castles in the Air, The Constant Nymph",The Royal Family,This Year of Grace,Wake Up and Dream,Three's a Crowd,Three's a Crowd,"Electra, The Great Magoo","Evensong, Walk a Little Faster",Walk a Little Faster, , , , , , , , , , , , , , ,The Respectful Prostitute,Ladies' Night in a Turkish Bath, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"The Man Who Came to Dinner, Betrayal","Design for Living, Major Barbar, The Women","An Almost Holy Picture, The Man Who Had All the Luck, An Evening with Mario Canton, The Boys from Syracuse","Tartuffe, A Day in the Death of Joe Egg, As Long As We Both Shall Laugh, Big River, The Caretaker","Twentieth Century, After the Fall, Twelve Angry Men","The Constant Wife, A Naked Girl on the Appian Way","The Pajama Game, Heartbreak House","Prelude to a Kiss, Old Acquaintance, Pygmalion","The 39 Steps, Les Liaisons Dangereuses, A Man for All Seasons","Hedda Gabler, The Philanthropist, After Miss Julie","Present Laughter, Everyday Rapture, Mrs. Warren's Profession","The Importance of Being Earnest, Man and Boy","The Road to Mecca, Don't Dress for Dinner, Cyrano de Bergerac","Picnic, The Big Knife, The Winslow Boy","Machinal, Violet, The Real Thing","On the Twentieth Century, Old Times","Noises Off, Long Day's Journey into Night, The Cherry Orchard","The Price, Marvin's Room, Time and the Conways","John Lithgow: Stories by Heart, Travesties, Bernhardt/Hamlet","True West, All My Sons, The Rose Tattoo",A Soldier's Play,Trouble in Mind,"Birthday Candles, 1776","Fat Ham, I Need That"
Stephen Sondheim Theatre,2,1,0.25, , , , , , , , , , , , , , , ,Daddy Long Legs,"La La Lucille, Moonlight and Honeysuckle, The Famous Mrs. Fair",Just Suppose,Just Suppose,The Awful Truth,Romeo and Juliet,L'Aiglon,"The Poor Nut, The Vortex","Raquel Meller, The Play's the Thing",The Baby Cyclone,"Our Betters, Gentlemen of the Press, The Sacred Flame",Journey's End,Journey's End,The Good Fairy,The Late Christopher Bean,The Late Christopher Bean,Personal Appearance,Personal Appearance,The Country Wife,French Without Tears,Our Town,Our Town,"Geneva, Ladies in Retirement",Ladies in Retirement,Flare Path,Flare Path,"Chicken Every Sunda, Dear Ruth",Dear Ruth,Dear Ruth,Maurice Chevalier,Born Yesterday,Born Yesterday,The Cocktail Party,The Moon Is Blue,The Moon Is Blue,"The Trip to Bountiful, Oh, Men! Oh, Women!","The Living Room, Witness for the Prosecution",Witness for the Prosecution,The Reluctant Debutante,"Hotel Paradiso, Under Milk Wood, The Genius and the Goddess, The Country Wife",The Country Wife,"Epitaph for George Dillon, Look After Lulu!, The Nervous Set, The Andersonville Trial",The World of Carl Sandburg,The World of Carl Sandburg,"Under the Yum Yum Tree, The Affair","The Hollow Crown, Enter Laughing",The Sign in Sidney Brustein's Window,The Subject Was Roses,The Subject Was Roses,The Promise,"Before You Go, Portrait of a Queen, The Venetian Twins", , , , , , , , , , , , , , ,The Ritz, , , , , , , , , , , , , , ,Cabaret, , ,Urinetown,Urinetown,Urinetown, , , , , ,Bye Bye Birdie,"All About Me, The Pee-wee Herman Show",Anything Goes,Anything Goes,The Trip to Bountiful,Beautiful: The Carole King Musical,Beautiful: The Carole King Musical,Beautiful: The Carole King Musical,Beautiful: The Carole King Musical,Beautiful: The Carole King Musical,Slava's Snowshow, ,Mrs. Doubtfire,& Juliet,& Juliet
Ambassador Theatre,2,2,0.79, , , , , , , , , , , , , , , , , , ,Blossom Time,Blossom Time,Blossom Time,The Dream Girl,"Candida, The Student Prince",The Great Gatsby,The Racket,"The Outsider, Redemption","Little Accident, Street Scene","The Last Mile, Six Shakespeare plays","Six Shakespeare plays, Death Takes a Holiday, Blossom Time",Blossom Time,"Young Sinners, June Moon",Biography,Night of January 16th,Mulatto,Eight Abbey Theatre plays,You Can't Take It with You,The Straw Hat Revue,The Straw Hat Revue,The Straw Hat Revue,The Straw Hat Revue,The Straw Hat Revue,Ten Gilbert and Sullivan plays,Ten Gilbert and Sullivan plays,Ten Gilbert and Sullivan plays,Ten Gilbert and Sullivan plays,Ten Gilbert and Sullivan plays,Ten Gilbert and Sullivan plays,Ten Gilbert and Sullivan plays,Ten Gilbert and Sullivan plays,Ten Gilbert and Sullivan plays,Ten Gilbert and Sullivan plays,Ten Gilbert and Sullivan plays,Ten Gilbert and Sullivan plays,Ten Gilbert and Sullivan plays,"The Diary of Anne Frank, Compulsion",Back to Methuselah,Back to Methuselah,The 49th Cousin,"The Tenth Man, Blood, Sweat and Stanley Poole","Something About a Soldier, A Passage to India",Stop the World – I Want to Get Off,Stop the World – I Want to Get Off,The World of Charles Aznavour,"The Lion in Winter, The Investigation",You Know I Can't Hear You When the Water's Running,We Bombed in New Haven,Celebration,"The Boy Friend, Paul Sills' Story Theatre",Ain't Supposed to Die a Natural Death,Ain't Supposed to Die a Natural Death,Warp!,Scapino,"We Interrupt This Program..., Me and Bessie",Des Journees Entieres Dans les Arbres,"Godspell, Miss Margarida's Way","Same Time, Next Year, Eubie!",Eubie!,"Your Arms Too Short to Box with God, Dancin'",Dancin',Herman Van Veen: All of Him,A View from the Bridge,A View from the Bridge,Leader of the Pack,Leader of the Pack,"Barbara Cook: A Concert for the Theatre, Dreamgirls",Ain't Misbehavin',The Circle,The Circle,The Circle,The Circle,The Circle,The Circle,Fool Moon,"Bring in 'da Noise, Bring in 'da Funk","Bring in 'da Noise, Bring in 'da Funk","Bring in 'da Noise, Bring in 'da Funk","You're a Good Man, Charlie Brown, It Ain't Nothin' But the Blues",The Ride Down Mt. Morgan,"A Class Act, Hedda Gabler",Topdog/Underdog,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago
Music Box Theatre,2,3,0.78, , , , , , , , , , , , , , , , , , ,Music Box Revue,Music Box Revue,Music Box Revue,Earl Carroll's Vanities,Earl Carroll's Vanities,Chicago,Chicago,Paris,The Little Show,"Topaze, Once in a Lifetime",Of Thee I Sing,Dinner at Eight,As Thousands Cheer,Merrily We Roll Along,"Rain, Ceiling Zero, If This Be Treason, Pride and Prejudice, First Lady",Stage Door,Of Mice and Men,I'd Rather Be Right,"Set to Music, The Man Who Came to Dinner",The Man Who Came to Dinner,The Land Is Bright,"A Kiss for Cinderella, Star and Garter",Star and Garter,"Over 21, I Remember Mama",I Remember Mama,A Flag Is Born,A Flag Is Born,"The Linden Tree, Summer and Smoke","They Knew What They Wanted, Mrs. Gibbons' Boys, Lost in the Stars","Daphne Laureola, Affairs of State",Affairs of State,"Much Ado About Nothing, The Male Animal",Picnic,The Solid Gold Cadillac,Bus Stop,"The Ponder Heart, Separate Tables","Miss Lonelyhearts, The Dark at the Top of the Stairs",The Dark at the Top of the Stairs,"Rashomon, Five Finger Exercise",Five Finger Exercise,"A Far Country, Daughter of Silence",The Beauty Part,Semi-Detached,Any Wednesday,Any Wednesday,Wait Until Dark,"The Homecoming, There's a Girl in My Soup","Lovers, Harkness Ballet",The Watering Place,Sleuth,Sleuth,Sleuth,Veronica's Room,Absurd Person Singular,Absurd Person Singular,"Who's Afraid of Virginia Woolf?, Comedians",Side by Side by Sondheim,Deathtrap,Deathtrap,Deathtrap,Deathtrap,Agnes of God,Agnes of God,Open Admissions,"The Octette Bridge Club, Hay Fever",Loot,"Sweet Sue, Les Liaisons Dangereuses",Les Liaisons Dangereuses,"Welcome to the Club, A Few Good Men",A Few Good Men,A Few Good Men,A Small Family Business,Blood Brothers,Blood Brothers,Swinging on a Star,State Fair,"Barrymore, The Diary of Anne Frank",The Diary of Anne Frank,"Closer, Amadeus","Macbeth, The Dinner Party",The Dinner Party,"Fortune's Fool, Amour",Cat on a Hot Tin Roof,Cat on a Hot Tin Roof,In My Life,"Festen, The Vertical Hour","Deuce, The Farnsworth Invention",August: Osage County,Superior Donuts,"Lend Me a Tenor, La Bête","Jerusalem, Private Lives","One Man, Two Guvnors, Dead Accounts",Pippin,Pippin,"The Heidi Chronicles, King Charles III","Shuffle Along, or, the Making of the Musical Sensation of 1921 and All That Followed, Dear Evan Hansen",Dear Evan Hansen,Dear Evan Hansen,Dear Evan Hansen,Dear Evan Hansen,Dear Evan Hansen,Walking with Ghosts,"Dancin', Purlie Victorious"
Nederlander Theatre,2,4,0.73, , , , , , , , , , , , , , , , , , ,Trilby,The Cat and the Canary,Cyrano de Bergerac,Cyrano de Bergerac,"The Gorilla, Hamlet, The Monkey Talks",The Monkey Talks,The Trial of Mary Dugan,The Trial of Mary Dugan,The Criminal Code,Grand Hotel,Grand Hotel,Grand Hotel,Grand Hotel,Grand Hotel,Seven Keys to Baldpate,"Ethan Frome, The County Chairman, Tonight at 8:30","Red Harvest, Brother Rat","Julius Caesar, The Shoemaker's Holiday",The Little Foxes,"Journey to Jerusalem, The Corn Is Green",Macbeth,Billy the Kid,"The Patriots, What's Up?",The Cherry Orchard,"The Assassin, The Day Before Spring",Call Me Mister,"Anna Lucasta, Medea, Crime and Punishment","Tonight at 8:30, Macbeth, Lend an Ear","The Big Knife, Caesar and Cleopatra",King Lear,"Courtin' Time, The Constant Wife",Candida,"The Bat, Camino Real, Sabrina Fair",Sabrina Fair,Inherit the Wind,Inherit the Wind,The Tunnel of Love,"Winesburg, Ohio, Once More, with Feeling!",Heartbreak House,Dear Liar,Dear Liar,"A Family Affair, Who's Afraid of Virginia Woolf?",Who's Afraid of Virginia Woolf?,Tiny Alice,The Right Honourable Gentleman,"Threepenny Opera, The Rose Tattoo","Mirele Efros, Mother Courage and Her Children","Here's Where I Belong, Soldiers, Box & Quotations from Chairman Mao Tse-tung, The Death of Bessie Smith & The American Dream, Krapp's Last Tape & The Zoo Story, Happy Days, The Resistible Rise of Arturo Ui",Private Lives,Private Lives,"A Midsummer Night's Dream, Old Times","The Country Girl, Purlie","The Three Sisters, The Beggar's Opera, Measure for Measure, Scapin",Jumpers, , , , ,Whose Life Is It Anyway?,"Betrayal, One Night Stand",Lena Horne: The Lady and Her Music,84 Charing Cross Road,"Teaneck Tanzi: The Venus Flytrap, Amen Corner",Amen Corner,Strange Interlude,"Robert Klein on Broadway, Raggedy Ann", , , , ,Our Country's Good, , , , ,Rent,Rent,Rent,Rent,Rent,Rent,Rent,Rent,Rent,Rent,Rent,Rent,Rent,"Guys and Dolls, Brighton Beach Memoirs",Million Dollar Quartet,Million Dollar Quartet,Newsies,Newsies,Newsies,"Honeymoon in Vegas, Amazing Grace","Disaster!, Motown: The Musical",War Paint,Pretty Woman: The Musical,"Kristin Chenoweth: For The Girls, Harry Connick, Jr.: A Celebration of Cole Porter", ,The Lehman Trilogy,"Mr. Saturday Night, A Christmas Carol",Shucked
