Theaters,x_coord,y_coord,color,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Majestic Theatre,3,1,0.85, , , , , , , , , , , , , , , , , , , , , , , , ,Rang Tang,Rio Rita,Rio Rita,Artists and Models,"The Student Prince, Simple Simon",The Round Up,"Pardon My English, The Bohemian Girl, The Pirates of Penzance, The Yeomen of the Guard",Gilbert and Sullivan Series, ,"Gilbert and Sullivan Series, At Home Abroad, On Your Toes","The Masque of Kings, The Bat, The Cat and the Canary, Babes in Arms",Babes in Arms,Babes in Arms,Margin for Error,Hellzapoppin,"Porgy and Bess, Native Son","Junior Miss, The Merry Widow",Mexican Hayride,Carousel,Oedipus Rex,"The Mayor of Zalamea, Alice in Wonderland, Call Me Mister, Allegro",Inside U.S.A.,"Carousel, South Pacific",South Pacific,South Pacific,South Pacific,Me and Juliet,"By the Beautiful Sea, Fanny",Fanny,Happy Hunting,The Music Man,The Music Man,The Music Man,Camelot,Camelot,Camelot,"The School for Scandal, Hot Spot, Tovarich, Jennie","Anyone Can Whistle, A Funny Thing Happened on the Way to the Forum, Golden Boy",Golden Boy,"Funny Girl, Breakfast at Tiffany's","Marat/Sade, Fiddler on the Roof",Fiddler on the Roof,Fiddler on the Roof,"Lovely Ladies, Kind Gentlemen",1776,Sugar,A Little Night Music,Mack & Mabel,The Wiz,The Wiz,The Act,"First Monday in October, Ballroom","I Remember Mama, The Most Happy Fella, Bette! Divine Madness","Grease, Blackstone! The Magnificent Musical Magic Show, Brigadoon",42nd Street,42nd Street,42nd Street,42nd Street,42nd Street,42nd Street,42nd Street,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera
Neil Simon Theatre,3,2,0.58, , , , , , , , , , , , , , , , , , , , , , , , ,Funny Face,Treasure Girl,Spring Is Here,Girl Crazy,Girl Crazy,"Mourning Becomes Electra, Music in the Air","Uncle Tom's Cabin, Mary of Scotland",Anything Goes,Porgy and Bess,"Red, Hot and Blue",I'd Rather Be Right,The Boys from Syracuse,"George White's Scandals, Very Warm for May","The Taming of the Shrew, There Shall Be No Night",Lady in the Dark,Angna Enters,Something for the Boys,"Jackpot, The Maid as Mistress/The Secret of Suzanne, Sadie Thompson","The Tempest, The Firebrand of Florence, Hollywood Pinafore, Billion Dollar Baby","A Flag Is Born, Joan of Lorraine, Cyrano de Bergerac","Life with Father, Man and Superman",Mister Roberts,Mister Roberts,Mister Roberts,"Darkness at Noon, A Tree Grows in Brooklyn, Point of No Return",Two's Company,Kind Sir,"The Golden Apple, House of Flowers",No Time for Sergeants,No Time for Sergeants,Rumple,"Oh, Captain!, Jerome Robbins' Ballet: U.S.A., Bells Are Ringing","First Impressions, Once Upon a Mattress","Greenwillow, Les Ballets Africains, West Side Story, Wildcat",Irma La Douce,A Funny Thing Happened on the Way to the Forum,A Funny Thing Happened on the Way to the Forum,High Spirits,"Maurice Chevalier at 77, Flora the Red Menace, The Yearling","It's a Bird... It's a Plane... It's Superman, Dinner At Eight","Sherry!, Rosencrantz and Guildenstern Are Dead","The Education of H*Y*M*A*N K*A*P*L*A*N, The Great White Hope",The Great White Hope,Company,Company,Company,Molly,The Freedom of the City,Shenandoah,Shenandoah,Annie,Annie,Annie,Annie,Merrily We Roll Along,"The Little Prince and the Aviator, Little Johnny Jones, Do Black Patent Leather Shoes Really Reflect Up?, Seven Brides for Seven Brothers, Your Arms Too Short to Box with God",Brighton Beach Memoirs,Brighton Beach Memoirs,Biloxi Blues,Into the Light,"Blithe Spirit, Mort Sahl on Broadway!, Breaking the Code","Long Day's Journey into Night, Ah, Wilderness!, Kenny Loggins on Broadway",Orpheus Descending,Jackie Mason: Brand New,Jackie Mason: Brand New,Jake's Women,Cyrano: The Musical,"The Rise and Fall of Little Voice, Basia on Broadway","Laurie Anderson on Broadway: The Nerve Bible, Danny Gans on Broadway: The Man of Many Voices",The King and I,The King and I,"A View from the Bridge, Swan Lake","Natalie Merchant, The Scarlet Pimpernel",The Music Man,The Music Man,"Elaine Stritch at Liberty, Hairspray",Hairspray,Hairspray,Hairspray,Hairspray,Hairspray,Hairspray,Ragtime,"Harry Connick Jr.: In Concert on Broadway, Rain: A Tribute to the Beatles",Catch Me If You Can,"Jesus Christ Superstar, Scandalous",Big Fish,"All the Way, The Last Ship","Gigi, The Illusionists: Live on Broadway",Cats,Cats,"Angels in America, The Cher Show",The Illusionists: Magic of the Holidays, , ,MJ the Musical,MJ the Musical
Studio 54,3,3,0.98, , , , , , , , , , , , , , , , , , , , , , , , ,"Thirteen operas presented by the San Carlo Company, Electra, Juno and the Paycock",A Tailor-Made Man,A Tailor-Made Man,Electra,Young Sinners,Young Sinners, , , , ,The Swing Mikado, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Cabaret,Cabaret,Cabaret,Cabaret,Cabaret,Cabaret,"Assassins, Pacific Overtures","A Streetcar Named Desire, A Touch of the Poet","The Threepenny Opera, The Apple Tree","110 in the Shade, The Ritz","Sunday in the Park with George, Pal Joey","Waiting for Godot, Wishful Drinking","Sondheim on Sondheim, Brief Encounter",The People in the Picture,"Harvey, The Mystery of Edwin Drood",The Mystery of Edwin Drood,Cabaret,"An Act of Go, Therese Raquin","She Loves Me, Holiday Inn","Sweat, Latin History for Morons","Children of a Lesser God, The Lifespan of a Fact","Kiss Me, Kate, The Sound Inside", ,"Caroline, or Change",The Minutes,Pictures from Home
St. James Theatre,3,4,0.86, , , , , , , , , , , , , , , , , , , , , , , , , ,"She Stoops to Conquer, Diplomacy",Diplomacy,"The Rivals, Fine and Dandy","Gilbert and Sullivan Series (eight unique productions), The Merry Widow, The Chocolate Soldier, The Geisha, The Chimes of Normandy, Naughty Marietta, The Firefly","The Gondoliers, Robin Hood, Walk a Little Faster","Gilbert and Sullivan Series (five productions), Ballet Russe de Monte-Carlo","The Chocolate Soldier, Thumbs Up!",May Wine,Love from a Stranger,"Richard II, Father Malachy's Miracle",Hamlet,"King Henry IV, Part 1","Earl Carroll's Vanities, Twelfth Night","Native Son, Pal Joey","Gilbert and Sullivan Series (ten productions), Claudia, Without Love",Oklahoma!,Oklahoma!,Oklahoma!,Oklahoma!,Oklahoma!,Where's Charley?,Where's Charley?,Peter Pan,"Gilbert and Sullivan Series (six productions), The King and I",The King and I,The King and I,The Pajama Game,The Pajama Game,Li'l Abner,Li'l Abner,Flower Drum Song,Flower Drum Song,"Once Upon a Mattress, Becket, Do Re Mi",Subways Are for Sleeping,Mr. President,Luther,"Hello, Dolly!","Hello, Dolly!","Hello, Dolly!","Hello, Dolly!","Hello, Dolly!","Hello, Dolly!",1776,Two Gentlemen of Verona,Two Gentlemen of Verona,A Streetcar Named Desire,Good News,The Misanthrope,"My Fair Lady, Music Is",Vieux Carre,On the Twentieth Century,"Carmelina, The 1940's Radio Hour","Filumena, Barnum",Barnum,"Rock 'N Roll! The First 5,000 Years",My One and Only,My One and Only,Jerry's Girls,Jerry's Girls,42nd Street,42nd Street,Gypsy,Gypsy,The Secret Garden,The Secret Garden,The Who's Tommy,The Who's Tommy,The Who's Tommy,A Funny Thing Happened on the Way to the Forum,A Funny Thing Happened on the Way to the Forum,"Patti LaBelle on Broadway, High Society","The Civil War, Swing!",Swing!,The Producers,The Producers,The Producers,The Producers,The Producers,The Producers,Dr. Seuss' How the Grinch Stole Christmas!,Gypsy,"Desire Under the Elms, Finian's Rainbow",American Idiot,"Hair, On a Clear Day You Can See Forever","Leap of Faith, Bring It On: The Musical","Barry Manilow – ""Manilow on Broadway: Live at the St. James"", Let It Be","Bullets Over Broadway, Side Show",Something Rotten!,Something Rotten!,Present Laughter,Frozen,Frozen,Frozen,"Springsteen on Broadway, David Byrne's American Utopia",Into the Woods,"New York, New York"
Ethel Barrymore Theatre,3,5,0.32, , , , , , , , , , , , , , , , , , , , , , , , , , ,Death Takes a Holiday,"Topaze, The Truth Game, Scarlet Sister Mary","Melo, The School for Scandal","There's Always Juliet, Gay Divorce",Design for Living,"Both Your Houses, Ruth Draper","Point Valaine, Othello, Macbeth","Bury the Dead, Night Must Fall, The Women",The Women,Knickerbocker Holiday,"No Time for Comedy, Key Largo",Pal Joey,Best Foot Forward,R.U.R.,Three Sisters,Three Sisters,"Rebecca, The Barretts of Wimpole Street, Marinka-Pygmalion","The Duchess of Malfi, Cyrano de Bergerac","The Telephone/The Medium, A Streetcar Named Desire",A Streetcar Named Desire,The Rat Race,"The Consul, Bell, Book and Candle",The Fourposter,I've Got Sixpence,"Misalliance, Tea and Sympathy",Tea and Sympathy,"The Desperate Hours, Marcel Marceau, The Chalk Garden",The Chalk Garden,"Small War on Murray Hill, Waiting for Godot, Look Homeward, Angel","Look Homeward, Angel","A Raisin in the Sun, A Majority of One","The Hostage, Critic's Choice",The Complaisant Lover,Moby-Dick,Moby-Dick,The Passion of Josef D.,The Amen Corner,"Wait Until Dark, We Have Always Lived in the Castle, Les Ballets Africains","Black Comedy/White Lies, The Little Foxes","Don't Drink the Water, The Seven Descents of Myrtle, Happiness Is Just a Little Thing Called a Rolls Royce, The Goodbye People",The Front Page,Conduct Unbecoming,"The Philanthropist, Ain't Supposed to Die a Natural Death","Captain Brassbound's Conversion, Don't Play Us Cheap","The Visit, Holiday","A Song at Twilight, Come Into the Garden, Maud","The Night That Made America Famous, Travesties","Legend, Poor Murderer","American Buffalo, I Love My Wife",I Love My Wife,Romantic Comedy,Romantic Comedy,The West Side Waltz,"Is There Life After High School?, Foxfire",Baby,Hurlyburly,Hurlyburly,Social Security,Social Security,"Joe Turner's Come and Gone, The Secret Rapture",Rumors,Lettice and Lovage,Mule Bone,A Streetcar Named Desire,The Sisters Rosensweig,The Sisters Rosensweig,Indiscretions,An Ideal Husband,The Life,Electra,"Amy's View, Putting It Together","The Real Thing, The Tale of the Allergist's Wife",The Tale of the Allergist's Wife,Imaginary Friends,Salome,Sly Fox,The Glass Menagerie,"Ring of Fire, Company",Red Carpet Massacre,"November, Speed-the-Plow","Exit the King, Race",Elling,"Arcadia, An Evening with Patti LuPone and Mandy Patinkin","Death of a Salesman, Chaplin","Macbeth, Betrayal","A Raisin in the Sun, The Curious Incident of the Dog in the Night-Time",The Curious Incident of the Dog in the Night-Time,"Alton Brown Live: Eat Your Science, The Present","Six Degrees of Separation, The Band's Visit",The Band's Visit,The Inheritance,The Inheritance,Waitress,"Paradise Square, The Piano Lesson","Peter Pan Goes Wrong, El Mago Pop, Harmony: A New Musical"
Broadway Theatre,3,6,0.34, , , , , , , , , , , , , , , , , , , , , , , , , , , ,The New Yorkers,The New Yorkers,"Troilus and Cressida, Earl Carroll's Vanities",Earl Carroll's Vanities,Earl Carroll's Vanities, , , , , ,"Too Many Girls, Mamba's Daughters", ,"This Is The Army, Ballet Imperial, The Fair at Sorochinsk, La Vie Parisienne, My Sister Eileen","Lady in the Dark, The Student Prince, Artists and Models, Carmen Jones",Carmen Jones,"The Tempest, Memphis Bound!, Up in Central Park","Song of Norway, A Flag Is Born, Beggar's Holiday",Beggar's Holiday,"The Cradle Will Rock, Four productions by the Habimah Players, High Button Shoes","Cabalgata, As the Girls Go",Katherine Dunham and Her Company,"Where's Charley?, The Green Pastures, Oklahoma!, Diamond Lil","Kiss Me, Kate, Four Saints in Three Acts, Shuffle Along",South Pacific,The Saint of Bleecker Street,The Saint of Bleecker Street,Mr. Wonderful,"Shinbone Alley, The Most Happy Fella","The Body Beautiful, Three productions by The Old Vic","West Side Story, Gypsy",The Music Man,"Fiorello!, Kean","My Fair Lady, I Can Get It for You Wholesale","Tovarich, The Girl Who Came to Supper",The Girl Who Came to Supper,"Baker Street, The Devils","A Time for Singing, Annie Get Your Gun, Funny Girl",Funny Girl,"The Happy Time, Cabaret",Mame,"Purlie, Fiddler on the Roof",Fiddler on the Roof,Dude,Dude,Candide,Candide,Guys and Dolls,"Nana Mouskouri on Broadway, The Wiz",The Wiz,Evita,Evita,Evita,Evita,Zorba,The Three Musketeers,The King and I,Big Deal,Les Miserables,Les Miserables,Les Miserables,Les Miserables,Miss Saigon,Miss Saigon,Miss Saigon,Miss Saigon,Miss Saigon,Miss Saigon,Miss Saigon,Miss Saigon,Miss Saigon,Miss Saigon,Blast!,"Robin Williams: Live on Broadway, La Boheme",La Boheme,Bombay Dreams,The Color Purple,The Color Purple,The Color Purple,"Cirque Dreams, Shrek The Musical",Shrek The Musical,"Promises, Promises",Sister Act,Frankie Valli and the Four Seasons on Broadway,Cinderella,Cinderella,"Doctor Zhivago, Fiddler on the Roof",Fiddler on the Roof,Miss Saigon,King Kong,King Kong,West Side Story,West Side Story,The Little Prince,Here Lies Love
Vivian Beaumont Theater,3,7,0.86, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Danton's Death, The Country Wife","The Condemned of Altona, The Caucasian Chalk Circle, The Alchemist, Yerma","Galileo, The Unknown Soldier and His Wife, The Little Foxes","Saint Joan, Tiger at the Gates, Cyrano de Bergerac, The Three Musketeers, George Dandin, Tartuffe, Lovers, King Lear, A Cry of Players","The Miser, The Time of Your Life","Camino Real, Operation Sidewinder, Beggar on Horseback, The Good Woman of Setzuan","The Playboy of the Western World, An Enemy of the People, Antigone, Mary Stuart","Narrow Road to the Deep North, Twelfth Night, The Crucible, Man of La Mancha, Enemies","The Plough and the Stars, The Merchant of Venice, A Streetcar Named Desire, In the Boom Boom Room",Short Eyes,"Black Picture Show, A Doll's House, Trelawny of the ""Wells"", Hamlet","Mrs. Warren's Profession, The Threepenny Opera","The Cherry Orchard, Agamemnon",Agamemnon,Agamemnon,The Philadelphia Story,"Macbeth, The Floating Light Bulb",The Floating Light Bulb,La Tragedie de Carmen,Oedipus Rex,Oedipus Rex,"The Flying Karamazov Brothers, The House of Blue Leaves, The Front Page","Death and the King's Horseman, The Comedy of Errors, Anything Goes",Anything Goes,The Tenth Man,"Some Americans Abroad, Six Degrees of Separation",Monster in a Box,My Favorite Year,"Abe Lincoln in Illinois, Gray's Anatomy",Carousel,"Arcadia, Racing Demon",Juan Darien: A Carnival Mass,"The Little Foxes, Ivanov","Ah, Wilderness!, Twelfth Night, Parade","It Ain't Nothin' But the Blues, Marie Christine",Contact,QED,Dinner at Eight,"Henry IV, Part 1 and Part 2","King Lear, The Frogs, The Rivals",The Light in the Piazza,The Coast of Utopia,Cymbeline,South Pacific,South Pacific,A Free Man of Color,War Horse,War Horse,Macbeth,Act One,The King and I,The King and I,"Oslo, Junk",My Fair Lady,My Fair Lady,My Fair Lady,Flying Over Sunset,"The Skin of Our Teeth, Mike Birbiglia: The Old Man and the Pool",Camelot
Palace Theatre,3,8,0.97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Sweet Charity,"Henry, Sweet Henry",George M!,George M!,Applause,Applause,Applause,Cyrano,Lorelei,Goodtime Charley,"Home Sweet Homer, Shirley MacLaine Live at the Palace, An Evening with Diana Ross",Man of La Mancha,Man of La Mancha,"The Grand Tour, Beatlemania, Oklahoma!",Oklahoma!,Woman of the Year,Woman of the Year,La Cage aux Folles,La Cage aux Folles,La Cage aux Folles,La Cage aux Folles,La Cage aux Folles, , , ,The Will Rogers Follies,The Will Rogers Follies,The Will Rogers Follies,Beauty and the Beast,Beauty and the Beast,Beauty and the Beast,Beauty and the Beast,Beauty and the Beast,Minnelli on Minnelli: Live at the Palace,Aida,Aida,Aida,Aida,Aida,All Shook Up,Lestat,Legally Blonde,Liza's at The Palace....,West Side Story,West Side Story,Priscilla Queen of the Desert,Annie,Annie,"Holler If Ya Hear Me, The Temptations and the Four Tops on Broadway",An American in Paris,The Illusionists: Turn of the Century,"Sunset Boulevard, SpongeBob SquarePants",SpongeBob SquarePants, , , , , 
Circle in the Square Theatre,3,9,0.22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Mourning Becomes Electra,"Medea, Uncle Vanya, The Waltz of the Toreadors, The Iceman Cometh","Scapino, The National Health, Where's Charley?","All God's Chillun Got Wings, Death of a Salesman, Ah, Wilderness!, The Glass Menagerie","Geraldine Fitzgerald in Songs of the Street, The Lady from the Sea, Pal Joey, The Night of the Iguana","Romeo and Juliet, The Importance of Being Earnest, Tartuffe, Saint Joan","13 Rue de l'Amour, Once in a Lifetime, The Inspector General, Man and Superman",Man and Superman,"Major Barbara, The Man Who Came to Dinner, The Bacchae, John Gabriel Borkman","The Father, Candida","Macbeth, Present Laughter","The Misanthrope, The Caine Mutiny Court-Martial, Heartbreak House","Awake and Sing, Design for Living","Arms and the Man, The Marriage of Figaro, The Robert Klein Show!","The Caretaker, You Never Can Tell",Coastal Disturbances,"A Streetcar Named Desire, An Evening with Robert Klein, The Night of the Iguana, The Devil's Disciple","Ghetto, Sweeney Todd",The Miser,"Taking Step, Getting Married, On Borrowed Time","Salome, Anna Karenina",Three productions by Thornton Wilder,The Shadow Box,"Uncle Vanya, The Rose Tattoo, Garden District, Holiday","Bus Stop, Tartuffe, Hughie",Stanley,Stanley,Not About Nightingales,"True West, The Rocky Horror Show",The Rocky Horror Show,Metamorphoses,Life (x),Frozen,The 25th Annual Putnam County Spelling Bee,The 25th Annual Putnam County Spelling Bee,The 25th Annual Putnam County Spelling Bee,Glory Days,The Norman Conquests,"The Miracle Worker, Lombardi",Godspell,Godspell,Soul Doctor,"Bronx Bombers, Lady Day at Emerson's Bar and Grill, The River",Fun Home,In Transit,Once on This Island,Once on This Island,Oklahoma!,Oklahoma!,Chicken & Biscuits,"American Buffalo, KPOP", 
Gershwin Theatre,3,10,0.96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Via Galactica,"Seesaw, The Desert Song, Gigi","Sammy Davis Jr., Mott the Hoople, Enrico Macias and his La Fete Orientale Co., Andy Williams with Michel Legrand, Anthony Newley, Henry Mancini, Johnny Mathis and the Miracles, The 5th Dimension, Raphael","Frank Sinatra, Ella Fitzgerald, and Count Basie, Treemonisha, Fonteyn & Nureyev on Broadway, Paul Anka, American Ballet Theatre","H.M.S. Pinafore, The Pirates of Penzance, The Mikado, Al Green with Ashford & Simpson, Porgy and Bess, Bing Crosby, Barry Manilow","Nureyev, Bejart: Ballet of the Twentieth Century, The King and I",The King and I,Sweeney Todd: The Demon Barber of Fleet Street,"Dance Theatre of Harlem, The Bat, Coppelia, Makarova and Company, Boston Ballet Company","The Pirates of Penzance, My Fair Lady, Annie",Annie,"Show Boat, Mame","Shirley MacLaine on Broadway, Twyla Tharp Dance on Broadway, Nureyev and Friends, Gladys Knight & the Pips & Kashif, Much Ado About Nothing, Cyrano de Bergerac","Patti LaBelle on Broadway, An Evening with Smokey Robinson, Singin' in the Rain",Singin' in the Rain,Starlight Express,Starlight Express,"Barry Manilow Live on Broadway, Meet Me in St. Louis","Bugs Bunny on Broadway, Fiddler on the Roof",Moscow Circus,"Grand Hotel, Tommy Tune Tonite!","Raffi, Yanni, Camelot, The Red Shoes",Show Boat,Show Boat,Show Boat,"Men Are from Mars, Women Are from Venus, Candide, 1776",On the Town,"Peter Pan, Tango Argentino",Riverdance on Broadway,Linda Eder at the Gershwin,Oklahoma!,Wicked,Wicked,Wicked,Wicked,Wicked,Wicked,Wicked,Wicked,Wicked,Wicked,Wicked,Wicked,Wicked,Wicked,Wicked,Wicked,Wicked,Wicked,Wicked,Wicked,Wicked
Minskoff Theatre,3,11,0.69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Irene,"Charles Aznavour on Broadway, Tony & Lena Sing","Bette Midler's Clams on the Half Shell Revue, Hello, Dolly!","Rockabye Hamlet, Debbie, Dutch National Ballet","Merce Cunningham Dance Company, Pippin, Cleo on Broadway","Dutch National Ballet, Angel, King of Hearts","Bejart: Ballet of the Twentieth Century, Shirley Bassey on Broadway, Engelbert on Broadway",West Side Story,"Miss Universe 1981, Can-Can, The Pirates of Penzance",The Pirates of Penzance,"Dance a Little Closer, Marilyn: An American Fable",The Tap Dance Kid,The Tap Dance Kid,"Patti LaBelle, Peter, Paul & Mary ""From Bleecker to Broadway"", The Temptations and The Four Tops, Sweet Charity",Teddy & Alice,Cabaret,Black and Blue,Black and Blue,Peter Pan,Metro,Joseph and the Amazing Technicolor Dreamcoat,Sunset Boulevard,Sunset Boulevard,Sunset Boulevard,The Scarlet Pimpernel,The Scarlet Pimpernel,Saturday Night Fever,Saturday Night Fever,The Adventures of Tom Sawyer,Dance of the Vampires,Dance of the Vampires,Fiddler on the Roof,Fiddler on the Roof,The Lion King,The Lion King,The Lion King,The Lion King,The Lion King,The Lion King,The Lion King,The Lion King,The Lion King,The Lion King,The Lion King,The Lion King,The Lion King,The Lion King,The Lion King,The Lion King,The Lion King,The Lion King
Marquis Theatre,3,12,0.06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Shirley Bassey, Me and My Girl",Me and My Girl,Me and My Girl,Me and My Girl,Shogun: The Musical,"Gypsy, Nick & Nora",Man of La Mancha,The Goodbye Girl,Damn Yankees,Victor/Victoria,Victor/Victoria,Victor/Victoria,"The Capeman, Peter Pan",Annie Get Your Gun,Annie Get Your Gun,Annie Get Your Gun,Thoroughly Modern Millie,Thoroughly Modern Millie,La Cage aux Folles,The Woman in White,The Drowsy Chaperone,The Drowsy Chaperone,"Cry-Baby, Irving Berlin's White Christmas","Soul of Shaolin, 9 to 5, Irving Berlin's White Christmas",Come Fly Away,"Wonderland: Alice's New Musical Adventure, Follies",Evita,"Jekyll & Hyde, Il Divo – A Musical Affair: The Greatest Songs of Broadway",The Illusionists: Witness the Impossible,"Penn & Teller on Broadway, On Your Feet!",On Your Feet!,Lewis Black: Black to the Future,"Escape to Margaritaville, The Illusionists — Magic of the Holidays",Tootsie,Tootsie,Tootsie,Beetlejuice,"Jonas Brothers on Broadway, Once Upon a One More Time"
Lyric Theatre,3,13,0.82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Ragtime,Ragtime,Jesus Christ Superstar,42nd Street,42nd Street,42nd Street,42nd Street,Chitty Chitty Bang Bang,"Hot Feet, Dr. Seuss' How the Grinch Stole Christmas!","The Pirate Queen, Young Frankenstein",Young Frankenstein,Young Frankenstein,Young Frankenstein,Spider-Man: Turn Off the Dark,Spider-Man: Turn Off the Dark,Spider-Man: Turn Off the Dark,On the Town,Lord of the Dance: Dangerous Games,Paramour,Paramour,Harry Potter and the Cursed Child,Harry Potter and the Cursed Child,Harry Potter and the Cursed Child,Harry Potter and the Cursed Child,Harry Potter and the Cursed Child,Harry Potter and the Cursed Child